file_name,file_size,score,strategy,tenpo_id,tenpo_name,torihikisaki_id,torihikisaki_name,zip_path
発酵デリカテッセンカフェテリアKouji&ko_利用者申込書.docx,10562,92.0,tenpo,TENPO#0120,発酵デリカテッセンカフェテリアKouji&ko,TORI#0060,株式会社フードアンドパートナーズ,店舗ごと契約書/株式会社フードアンドパートナーズ /発酵デリカテッセンカフェテリアKouji&ko_利用者申込書.docx
ニーハオ食品株式会社（証印済み）.pdf,1090338,92.0,torihikisaki,TENPO#0083,本店,TORI#0041,ニーハオ食品株式会社,店舗ごと契約書/ニーハオ食品株式会社/ニーハオ食品株式会社（証印済み）.pdf
米と魚　さかなさま_利用者申込書.docx,10519,92.0,tenpo,TENPO#0129,米と魚　さかなさま,TORI#0069,合同会社FOOD GROOVE JAPAN,店舗ごと契約書/合同会社FOOD GROOVE JAPAN/米と魚　さかなさま_利用者申込書.docx
麺と肴　担々麺 ペン坊_利用者申込書.docx,10480,92.0,tenpo,TENPO#0032,麺と肴　担々麺 ペン坊,TORI#0018,株式会社クラフトマスタージャパン,店舗ごと契約書/麺と肴　担々麺 ペン坊/麺と肴　担々麺 ペン坊_利用者申込書.docx
片山鶏肉店_利用者申込書.docx,10431,92.0,tenpo,TENPO#0131,片山鶏肉店,TORI#0071,Japrise,店舗ごと契約書/Japrise株式会社/片山鶏肉店_利用者申込書.docx
dining Bar TRANSAM赤坂_利用者申込書.docx,10449,92.0,tenpo,TENPO#77f42e59665b,N,TORI#950551f38416,T,店舗ごと契約書/合同会社TRANZAM/dining Bar TRANSAM赤坂_利用者申込書.docx
早稲田別館 武蔵野油学会_利用者申込書.docx.docx,398846,92.0,tenpo,TENPO#0082,別館,TORI#0041,ニーハオ食品株式会社,店舗ごと契約書/株式会社ギガデイン/早稲田別館 武蔵野油学会_利用者申込書.docx.docx
早稲田総本店 武蔵野油学会_利用者申込書.docx.docx,398825,92.0,tenpo,TENPO#0083,本店,TORI#0041,ニーハオ食品株式会社,店舗ごと契約書/株式会社ギガデイン/早稲田総本店 武蔵野油学会_利用者申込書.docx.docx
代々木店 武蔵野油学会_利用者申込書.docx.docx,11205,92.0,tenpo,TENPO#0048,代々木店,TORI#0025,株式会社ギガデイン,店舗ごと契約書/株式会社ギガデイン/代々木店 武蔵野油学会_利用者申込書.docx.docx
Bar ANIME HOLIC アニメホリック_利用者申込書.docx.docx,10619,92.0,tenpo,TENPO#77f42e59665b,N,TORI#950551f38416,T,店舗ごと契約書/株式会社スモールズ/Bar ANIME HOLIC アニメホリック_利用者申込書.docx.docx
鮨 輝らく_利用者申込書.docx,10510,92.0,tenpo,TENPO#0031,鮨 輝らく,TORI#0018,株式会社クラフトマスタージャパン,店舗ごと契約書/株式会社クラフトマスタージャパン/鮨 輝らく_利用者申込書.docx
ディストピアBar KARMA カルマ_利用者申込書.docx.docx,10627,92.0,tenpo,TENPO#0105,ディストピアBar KARMA　カルマ,TORI#0049,株式会社スモールズ,店舗ごと契約書/株式会社スモールズ/ディストピアBar KARMA カルマ_利用者申込書.docx.docx
