yagou_id,torihikisaki_id,name,jotai
YAGOU#0054,TORI#0038,楽が気,yuko
YAGOU#0055,TORI#0039,楽が気,yuko
YAGOU#0056,TORI#0040,楽が気,yuko
YAGOU#0057,TORI#0041,ニーハオ,yuko
YAGOU#0058,TORI#0042,北海道らーめん みそ熊,yuko
YAGOU#0059,TORI#0043,北海道らーめん みそ熊,yuko
YAGOU#0060,TORI#0044,CRAFTCHEESEMARKET,yuko
YAGOU#0061,TORI#0044,"家庭料理居酒屋 
焼肉Yakitaro",yuko
YAGOU#0062,TORI#0045,カラオケパセラ,yuko
YAGOU#0063,TORI#0046,カラオケパセラ,yuko
YAGOU#0064,TORI#0047,肉汁屋,yuko
YAGOU#0065,TORI#0047,ラムと泡,yuko
YAGOU#0066,TORI#0047,生ラムかんな,yuko
YAGOU#0067,TORI#0047,ホルモン屋 だん,yuko
YAGOU#0068,TORI#0048,ホルモン屋 だん,yuko
YAGOU#0069,TORI#0049,ホルモン屋 だん,yuko
YAGOU#0070,TORI#0050,ホルモン屋 だん,yuko
YAGOU#0071,TORI#0051,ホルモン屋 だん,yuko
YAGOU#0072,TORI#0037,ラム肉専門店,yuko
YAGOU#0073,TORI#0052,MASSIMOTTVIO,yuko
YAGOU#0074,TORI#0053,土風炉,yuko
YAGOU#0075,TORI#0054,板前寿司愛宕店,yuko
YAGOU#0076,TORI#0055,東京餃子楼,yuko
YAGOU#0077,TORI#0055,FAST OYSTERS,yuko
YAGOU#0078,TORI#0056,ニクアザブ,yuko
YAGOU#0079,TORI#0057,ZANGIRI Next,yuko
YAGOU#0080,TORI#0058,でですけ,yuko
YAGOU#0081,TORI#0059,油そば 雷神,yuko
YAGOU#0082,TORI#0060,油そば 雷神,yuko
YAGOU#0083,TORI#0061,油そば 雷神,yuko
YAGOU#0084,TORI#0062,ロケ弁エージェント,yuko
YAGOU#0085,TORI#0063,神田小川町店,yuko
YAGOU#0086,TORI#0064,やきとり大吉,yuko
YAGOU#0087,TORI#0065,やきとり大吉,yuko
YAGOU#0088,TORI#0066,やきとり大吉,yuko
YAGOU#0089,TORI#0067,やきとり大吉,yuko
YAGOU#0090,TORI#0068,やきとり大吉,yuko
YAGOU#0091,TORI#0069,やきとり大吉,yuko
YAGOU#0092,TORI#0070,ワイン食堂がっと,yuko
YAGOU#0093,TORI#0071,ワイン食堂がっと,yuko
YAGOU#0094,TORI#0072,中国料理 かおたん,yuko
YAGOU#0095,TORI#0073,丸鶏 るいすけ,yuko
YAGOU#0096,TORI#0074,カルニセリア,yuko
YAGOU#0097,TORI#0074,シュハスカリア キ ボン!,yuko
YAGOU#0098,TORI#0075,新潟カツ丼 タレカツ,yuko
YAGOU#0099,TORI#0005,日本橋玉ゐ本店,yuko
